,state_abrv,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,State
36,OR,5.456125847000557,-0.48219414837368657,-0.8049311636600888,1.5842861184614083,-0.46231955064584407,-0.4549915260588454,0.45551567959772266,0.7849071371726342,-0.5222927698821194,0.51154834659132,-0.13699640931208745,-0.1267884838158413,-0.19442150261516256,0.7167463818465365,0.3395498664261014,Oregon
37,PA,-0.18235312695116856,-0.03606958444987829,-0.2587011590393026,-0.33609554303604183,0.7682704577065829,2.1070096281033743,-0.6925568226409293,-0.42297346539215697,1.048889206853508,0.696887516406657,-0.6516550454433467,1.7727309934083735,-0.7437898800890073,-0.0829888320273614,4.100018028691717,Pennsylvania
38,RI,0.5884843336411199,1.8650651534466607,-0.7479716107459555,0.8254951812077262,-0.5634822123454717,-0.2905429298437543,0.03171695831056054,0.5810245537763046,-0.3237205237702242,0.3416525385789455,-0.2881546182802851,-0.2111779070535299,-0.12950944887711424,-0.04323807817492298,0.42595619674791685,Rhode Island
39,SC,-0.5336490189118173,-0.5741294604975096,0.17985235570438252,-0.6138491578534774,-0.6493940633234008,7.6598389170670504,-0.8324519975986737,3.50310998950149,2.600740196232177,-0.6028143688638171,0.7727478083344967,-0.535878989468035,-0.1307016758299554,33.26771062407164,-0.7954013653811544,South Carolina
40,SD,0.5366038916528921,-0.46040999847584196,1.1496410198428397,-0.23100591715976337,-0.19460880999342522,1.1292169929196167,-0.5159213957759413,0.0811728278082724,0.8509434537418081,-0.5313445025488688,0.15608444736649862,0.2119827936044154,-0.37673130193905824,0.6255206645219529,-0.3352353433937524,South Dakota
41,TN,-0.1084609717665852,2.8766152069244497,-0.5991699600421796,-0.3189271672901012,-0.5897596853765161,0.18387496530060576,-0.04502246989317904,0.2351976643864715,-0.1486202179622813,-0.3705939586439253,-0.0629322538700483,-0.39372219287914334,0.35845966533147755,0.6870728901452743,-0.7726878725019577,Tennessee
42,TX,0.4781964418206761,-0.6451101496879477,0.38653985904841104,0.15333022102725202,-0.304355363501707,-0.16047578967324294,0.06933897234285791,0.7224531496044071,-0.3390933718040726,0.09022121888592483,-0.19363973885321428,-0.368091433354112,0.3317180387017171,-0.4656801018992931,0.43608488251327904,Texas
43,UT,-0.8546707511351328,1.8687890624999994,0.938881039952586,6.510910690250252,-0.8996421029579973,-0.15181989562697062,0.21646061105255043,0.34315675959203595,-0.062182499819497306,0.07224883282607086,-0.4440090176803404,1.4425683403100034,-0.70629919185315,0.44825249575310466,-0.31778429239686956,Utah
44,VA,-0.49878634540246913,-0.4094008665698923,11.242767477030334,-0.364192927506404,-0.8791516092212501,-0.2302431649307476,0.12001979204657265,1.8774538312005173,-0.7482618685043247,-0.3436088136177743,-0.339043275852404,3.639065057192827,-0.45808985052765383,-0.31710183910602463,-0.6568212540315066,Virginia
45,VT,-0.1222934600971094,6.120831070361514,-0.8888888888888888,0.43999999999999995,-0.5555555555555556,-0.18608223062381846,-0.5200682247060531,0.43999999999999995,0.8779149519890252,-0.42157808619430226,0.3012534040125301,-0.4917014408173963,-0.044438833480621054,-0.6027619970346882,8.387052965142596,Vermont
46,WA,0.026642331900084804,0.15587041336858531,0.14223143183400677,-0.3443127495238697,0.22708473508899019,-0.12523004330556775,-0.372775792809214,0.24594138922834508,-0.10512074739723887,-0.06722592262611837,-0.23713885398116685,0.06590993481556717,-0.2888463024111262,2.0990139179247524,-0.2675460415041183,Washington
47,WI,2.292742081590974,-0.33035682000840494,-0.5703873244204243,2.015511458264215,-0.12030841784787794,-0.3436366089593049,0.10377625662956991,-0.6180771976734798,0.1636452429852251,1.670057063158664,-0.21247240797922573,-0.5527672192256697,1.1939585629685947,-0.1123684563709797,-0.5528703756534992,Wisconsin
48,WV,-1.0,0.0,0.0,-0.11378108174662438,0.44354087861436464,14.164087995137386,-0.7864057359736419,17.455545224397216,-0.977541777727856,-0.48722095577536184,43.27203578552952,-0.9565124856415265,0.04543943463228062,-0.17632195577086507,-0.45870354856631446,West Virginia
49,WY,-0.009546484741649652,-0.042801174186390734,2.730814057300544,-0.2974995736104922,-0.734626362438755,-0.1978596288360599,-0.009844074619113519,3.3177601619160058,-0.811644,-0.04637043025085763,0.8567131320509698,-0.5980026189816399,-0.41522491349480983,0.8418367346938775,-0.4570637119113573,Wyoming
